title,info
Justice League,"['fuel', 'restor', 'faith', 'human', 'inspir', 'superman', 'selfless', 'act', 'bruce', 'wayn']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Don't Breathe,"['group', 'teen', 'break', 'blind', 'man', 'home', 'think', 'get', 'away', 'perfect']['Crime', 'Horror', 'Thriller']"
Back to the Future,"['marti', 'parent', 'eighti', 'teenag', 'mcfli', 'accident', 'sent', 'back', 'time', '1955']['Adventure', 'Comedy', 'Science Fiction', 'Family']"
The Martian,"['watney', 'man', 'mission', 'mar', 'astronaut', 'mark', 'presum', 'dead', 'fierc', 'storm']['Drama', 'Adventure', 'Science Fiction']"
Finding Nemo,"['nemo', 'home', 'adventur', 'young', 'clownfish', 'unexpect', 'taken', 'great', 'barrier', 'reef']['Animation', 'Family']"
Colossal,"['woman', 'discov', 'sever', 'catastroph', 'event', 'somehow', 'connect', 'mental', 'breakdown', 'suffer']['Action', 'Comedy', 'Drama', 'Fantasy', 'Science Fiction']"
The Hunger Games: Catching Fire,"['katniss', 'win', 'annual', 'hunger', 'game', 'along', 'everdeen', 'return', 'home', 'safe']['Adventure', 'Action', 'Science Fiction']"
Self/less,"['man', 'bodi', 'extrem', 'wealthi', 'elder', 'die', 'cancer', 'undergo', 'radic', 'medic']['Science Fiction', 'Mystery', 'Thriller']"
Kill Bill: Vol. 1,"['bill', 'assassin', 'shot', 'altar', 'ruthless', 'employ', 'member', 'assassin', 'circl', 'bride']['Action', 'Crime']"
The Hangover Part III,"['time', 'wed', 'bachelor', 'parti', 'could', 'wrong', 'right', 'wolfpack', 'hit', 'road']['Comedy']"
Harry Potter and the Deathly Hallows: Part 2,"['harri', 'voldemort', 'ron', 'hermion', 'continu', 'quest', 'vanquish', 'evil', 'thing', 'begin']['Family', 'Fantasy', 'Adventure']"
Spectre,"['bond', 'cryptic', 'messag', 'past', 'send', 'trail', 'uncov', 'sinist', 'organ', 'battl']['Action', 'Adventure', 'Crime']"
Sleight,"['sister', 'young', 'street', 'magician', 'left', 'take', 'care', 'littl', 'mother', 'pass']['Drama', 'Thriller', 'Action', 'Science Fiction']"
Black Mirror: White Christmas,"['matt', 'potter', 'world', 'featurelength', 'special', 'consist', 'three', 'interwoven', 'stori', 'mysteri']['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller', 'TV Movie']"
Harry Potter and the Goblet of Fire,"['harri', 'voldemort', 'start', 'fourth', 'year', 'hogwart', 'compet', 'treacher', 'triwizard', 'tournament']['Adventure', 'Fantasy', 'Family']"
Despicable Me 2,"['gru', 'recruit', 'antivillain', 'leagu', 'help', 'deal', 'power', 'new', 'super', 'crimin']['Animation', 'Comedy', 'Family']"
No Good Deed,"['terri', 'devot', 'wife', 'mother', 'two', 'live', 'ideal', 'suburban', 'life', 'atlanta']['Crime', 'Thriller']"
The Book of Henry,"['susan', 'mother', 'henri', 'emot', 'naomi', 'watt', 'star', 'singl', 'two', 'work']['Thriller', 'Drama', 'Crime']"
Rings,"['boyfriend', 'movi', 'julia', 'becom', 'worri', 'holt', 'explor', 'dark', 'urban', 'legend']['Horror']"
Child's Play 3,"['eight', 'year', 'sinc', 'event', 'second', 'film', 'see', 'andi', 'teenag', 'enrol']['Thriller', 'Horror', 'Action']"
A Monster Calls,"['boy', 'imagin', 'monster', 'help', 'deal', 'difficult', 'life', 'see', 'world', 'differ']['Drama', 'Fantasy']"
A Ghost Story,"['recent', 'deceas', 'whitesheet', 'ghost', 'return', 'suburban', 'home', 'consol', 'bereft', 'wife']['Drama', 'Fantasy', 'Romance']"
Rough Night,"['five', 'best', 'friend', 'colleg', 'reunit', 'year', 'later', 'wild', 'bachelorett', 'weekend']['Drama', 'Comedy']"
